time,people_in,people_out,current_people
20:37:16,0,1,-1
20:37:17,0,2,-2
20:37:25,1,2,-1
20:37:37,1,3,-2
20:37:53,2,3,-1
20:38:04,3,3,0
20:38:08,4,3,1
20:38:09,5,3,2
20:38:09,6,3,3
20:38:09,7,3,4
20:38:10,8,3,5
20:38:12,9,3,6
20:38:13,9,4,5
20:38:14,9,5,4
20:38:14,9,6,3
20:38:15,9,7,2
20:38:15,10,7,3
20:38:18,11,7,4
20:38:20,12,7,5
20:38:21,13,7,6
20:38:22,13,8,5
20:38:27,14,8,6
20:38:29,14,9,5
20:38:30,15,9,6
20:38:39,16,9,7
20:38:50,17,9,8
20:39:02,18,9,9
21:20:22,0,1,0
21:20:23,0,2,0
21:20:30,1,2,0
21:20:42,1,3,0
21:20:57,2,3,0
21:21:08,3,3,0
21:21:12,4,3,1
21:21:12,5,3,2
21:21:12,6,3,3
21:21:12,7,3,4
21:21:13,8,3,5
21:21:15,9,3,6
21:21:17,9,4,5
21:21:17,9,5,4
21:21:18,9,6,3
21:21:18,9,7,2
21:21:19,10,7,3
21:21:22,11,7,4
21:21:23,12,7,5
21:21:25,13,7,6
21:21:25,13,8,5
21:21:31,14,8,6
21:21:32,14,9,5
21:21:34,15,9,6
21:21:43,16,9,7
21:21:53,17,9,8
21:22:06,18,9,9
